m, None
1.083499999999999875e-06,7.834497700000000453e-01
1.084000000000000125e-06,7.866351000000000315e-01
1.084499999999999950e-06,8.073919999999999986e-01
1.084999999999999988e-06,8.172174100000000330e-01
1.085499999999999814e-06,7.947376400000000229e-01
1.086000000000000063e-06,7.547087099999999493e-01
1.086500000000000101e-06,7.575234800000000268e-01
1.086999999999999926e-06,7.881972800000000001e-01
1.087499999999999964e-06,8.114904200000000456e-01
1.088000000000000002e-06,8.210942700000000150e-01
1.088500000000000039e-06,8.135363500000000192e-01
1.088999999999999865e-06,7.929554599999999454e-01
1.089499999999999903e-06,7.792486499999999872e-01
1.090000000000000152e-06,7.639961199999999453e-01
1.090499999999999978e-06,7.574555299999999880e-01
1.091000000000000015e-06,7.974013100000000298e-01
1.091499999999999841e-06,8.320624800000000487e-01
1.092000000000000090e-06,7.973238799999999848e-01
1.092500000000000128e-06,7.327291400000000010e-01
1.092999999999999954e-06,7.307998500000000286e-01
1.093499999999999991e-06,7.738645699999999739e-01
1.094000000000000029e-06,7.792929400000000451e-01
1.094500000000000066e-06,7.419452100000000216e-01
1.094999999999999892e-06,7.264302400000000048e-01
1.095499999999999930e-06,7.162782500000000052e-01
1.096000000000000179e-06,6.924191100000000043e-01
1.096500000000000005e-06,7.421652100000000196e-01
1.097000000000000042e-06,7.905825399999999448e-01
1.097499999999999868e-06,7.349079299999999870e-01
1.098000000000000118e-06,6.822259999999999991e-01
1.098499999999999943e-06,6.892691300000000076e-01
1.098999999999999981e-06,6.738284799999999519e-01
1.099500000000000019e-06,6.365686099999999792e-01
1.100000000000000056e-06,6.367329400000000250e-01
1.100500000000000094e-06,6.466302900000000520e-01
1.100999999999999919e-06,6.578586100000000103e-01
1.101499999999999957e-06,6.545378600000000269e-01
1.101999999999999995e-06,6.002992400000000117e-01
1.102500000000000032e-06,5.787541299999999778e-01
1.103000000000000070e-06,6.101449100000000403e-01
1.103499999999999896e-06,6.382393200000000544e-01
1.104000000000000145e-06,6.162156500000000037e-01
1.104499999999999971e-06,5.900889599999999957e-01
1.105000000000000008e-06,6.125897200000000042e-01
1.105499999999999834e-06,5.755134800000000217e-01
1.106000000000000083e-06,4.934813699999999748e-01
1.106500000000000121e-06,5.186511299999999602e-01
1.106999999999999947e-06,6.287295800000000101e-01
1.107499999999999984e-06,6.193368999999999680e-01
1.108000000000000022e-06,4.990450399999999953e-01
1.108500000000000059e-06,4.731767499999999793e-01
1.108999999999999885e-06,5.336686999999999959e-01
1.109499999999999923e-06,5.779655000000000209e-01
1.110000000000000172e-06,5.723374500000000253e-01
1.110499999999999998e-06,5.073804899999999618e-01
1.111000000000000035e-06,4.478463200000000199e-01
1.111499999999999861e-06,4.722905199999999915e-01
1.112000000000000111e-06,5.340139299999999700e-01
1.112500000000000148e-06,4.773299699999999923e-01
1.112999999999999974e-06,3.164522599999999852e-01
1.113500000000000012e-06,2.474442400000000097e-01
1.114000000000000049e-06,3.483204200000000195e-01
1.114500000000000087e-06,4.172772499999999885e-01
