m, W/sr m3
1.026999999999999866e-06,4.079366699999999721e+06
1.027500000000000115e-06,4.065989875000000000e+06
1.027999999999999941e-06,4.049282399999999907e+06
1.028499999999999978e-06,4.028175300000000279e+06
1.029000000000000016e-06,4.010616925000000279e+06
1.029500000000000053e-06,4.004023162499999627e+06
1.030000000000000091e-06,4.013432749999999534e+06
1.030499999999999917e-06,4.020045924999999814e+06
1.030999999999999954e-06,4.020532125000000000e+06
1.031499999999999992e-06,4.011373812500000000e+06
1.032000000000000030e-06,4.004615200000000186e+06
1.032500000000000067e-06,3.997921625000000000e+06
1.032999999999999893e-06,3.990634649999999907e+06
1.033500000000000142e-06,3.982146037500000093e+06
1.033999999999999968e-06,3.973869200000000186e+06
1.034500000000000006e-06,3.966516100000000093e+06
1.034999999999999831e-06,3.958249250000000466e+06
1.035500000000000081e-06,3.948728587500000373e+06
1.036000000000000118e-06,3.936779799999999814e+06
1.036499999999999944e-06,3.910517487499999814e+06
1.036999999999999982e-06,3.881753974999999627e+06
1.037500000000000019e-06,3.856514062500000000e+06
1.038000000000000057e-06,3.860054100000000093e+06
1.038499999999999883e-06,3.871916949999999721e+06
1.038999999999999920e-06,3.882047300000000279e+06
1.039500000000000169e-06,3.878297149999999907e+06
1.039999999999999995e-06,3.869607500000000000e+06
1.040500000000000033e-06,3.860779812499999534e+06
1.040999999999999859e-06,3.851895424999999814e+06
1.041500000000000108e-06,3.843126149999999907e+06
1.041999999999999934e-06,3.834900200000000186e+06
1.042499999999999971e-06,3.826783750000000000e+06
1.043000000000000009e-06,3.818646000000000000e+06
1.043500000000000046e-06,3.810182000000000000e+06
1.044000000000000084e-06,3.801229600000000093e+06
1.044499999999999910e-06,3.789592500000000466e+06
1.044999999999999947e-06,3.764465000000000466e+06
1.045500000000000197e-06,3.736790762499999255e+06
1.046000000000000023e-06,3.711715600000000093e+06
1.046500000000000060e-06,3.713937400000000373e+06
1.046999999999999886e-06,3.721697125000000466e+06
1.047500000000000135e-06,3.731202375000000000e+06
1.047999999999999961e-06,3.726031399999999907e+06
1.048499999999999999e-06,3.716928362499999814e+06
1.049000000000000036e-06,3.705138599999999627e+06
1.049500000000000074e-06,3.693659299999999814e+06
1.050000000000000111e-06,3.683837500000000000e+06
1.050499999999999937e-06,3.675262799999999814e+06
1.050999999999999975e-06,3.666375600000000093e+06
1.051500000000000012e-06,3.656383449999999721e+06
1.052000000000000050e-06,3.645465599999999627e+06
1.052500000000000087e-06,3.634740125000000000e+06
1.052999999999999913e-06,3.623778325000000186e+06
1.053500000000000162e-06,3.612592350000000093e+06
1.053999999999999988e-06,3.600663400000000373e+06
1.054500000000000026e-06,3.589070487500000279e+06
1.054999999999999852e-06,3.577822625000000000e+06
1.055500000000000101e-06,3.566166049999999814e+06
1.056000000000000139e-06,3.553748299999999814e+06
1.056499999999999964e-06,3.540477012500000186e+06
1.057000000000000002e-06,3.526579550000000279e+06
1.057500000000000039e-06,3.504405125000000466e+06
1.058000000000000077e-06,3.471911299999999348e+06
1.058499999999999903e-06,3.437038750000000000e+06
1.058999999999999940e-06,3.415404075000000186e+06
1.059500000000000190e-06,3.412316037500000093e+06
1.060000000000000016e-06,3.404656000000000000e+06
1.060500000000000053e-06,3.394687425000000279e+06
1.060999999999999879e-06,3.381898849999999627e+06
1.061500000000000128e-06,3.386611100000000093e+06
1.061999999999999954e-06,3.390518149999999907e+06
1.062499999999999992e-06,3.389109687500000000e+06
1.063000000000000029e-06,3.379512200000000186e+06
1.063499999999999855e-06,3.368447525000000373e+06
1.064000000000000104e-06,3.357166599999999627e+06
1.064499999999999930e-06,3.344110649999999907e+06
1.064999999999999968e-06,3.328008125000000000e+06
1.065499999999999793e-06,3.306219937500000000e+06
1.066000000000000043e-06,3.283500850000000093e+06
1.066500000000000080e-06,3.267499524999999907e+06
1.066999999999999906e-06,3.267935950000000186e+06
1.067499999999999944e-06,3.259444687500000000e+06
1.067999999999999981e-06,3.235879399999999441e+06
1.068500000000000019e-06,3.178568862499999814e+06
1.068999999999999845e-06,3.140494024999999907e+06
1.069499999999999882e-06,3.126204062499999534e+06
1.070000000000000132e-06,3.165713749999999534e+06
1.070499999999999957e-06,3.209390600000001024e+06
1.070999999999999995e-06,3.247391325000000186e+06
1.071499999999999821e-06,3.260398112500000279e+06
1.072000000000000070e-06,3.251169200000000186e+06
1.072500000000000108e-06,3.233226937500000000e+06
1.072999999999999933e-06,3.216636175000000745e+06
1.073499999999999971e-06,3.217900475000000559e+06
1.074000000000000009e-06,3.223220949999999721e+06
1.074500000000000046e-06,3.209023912500000093e+06
1.074999999999999872e-06,3.197788750000000000e+06
1.075499999999999910e-06,3.193609237499999814e+06
1.076000000000000159e-06,3.220991599999999627e+06
1.076499999999999985e-06,3.224320587499999907e+06
1.077000000000000022e-06,3.210838624999999534e+06
1.077499999999999848e-06,3.175560937499999534e+06
1.078000000000000097e-06,3.158690500000000000e+06
1.078499999999999923e-06,3.153825700000000186e+06
1.078999999999999961e-06,3.152185799999999814e+06
1.079499999999999998e-06,3.147793550000000279e+06
1.080000000000000036e-06,3.140148000000000000e+06
1.080500000000000073e-06,3.116316549999999814e+06
1.080999999999999899e-06,3.098191799999999814e+06
1.081499999999999937e-06,3.086163687500000000e+06
1.081999999999999974e-06,3.105240750000000000e+06
1.082500000000000012e-06,3.099305500000000466e+06
1.083000000000000049e-06,3.071498574999999721e+06
1.083499999999999875e-06,3.026857587499999441e+06
1.084000000000000125e-06,3.011517800000000279e+06
1.084499999999999950e-06,3.023844187500000000e+06
1.084999999999999988e-06,3.026059375000000000e+06
1.085499999999999814e-06,3.006253087500000838e+06
1.086000000000000063e-06,2.963490049999998882e+06
1.086500000000000101e-06,2.937115912499999627e+06
1.086999999999999926e-06,2.934178525000000373e+06
1.087499999999999964e-06,2.957765312500000000e+06
1.088000000000000002e-06,2.989214500000000000e+06
1.088500000000000039e-06,3.001394312500000000e+06
1.088999999999999865e-06,2.988599124999999534e+06
1.089499999999999903e-06,2.944668399999999441e+06
1.090000000000000152e-06,2.912831500000000000e+06
1.090499999999999978e-06,2.901365424999999814e+06
1.091000000000000015e-06,2.939420149999999907e+06
1.091499999999999841e-06,2.952163875000000466e+06
1.092000000000000090e-06,2.917315999999998603e+06
1.092500000000000128e-06,2.827342374999998137e+06
1.092999999999999954e-06,2.750491049999999348e+06
1.093499999999999991e-06,2.709400974999999627e+06
1.094000000000000029e-06,2.675509000000000000e+06
1.094500000000000066e-06,2.646757375000000000e+06
1.094999999999999892e-06,2.625531250000000466e+06
1.095499999999999930e-06,2.633674224999999627e+06
1.096000000000000179e-06,2.659018599999998696e+06
1.096500000000000005e-06,2.708387524999998044e+06
1.097000000000000042e-06,2.722781850000000093e+06
1.097499999999999868e-06,2.704842124999997206e+06
1.098000000000000118e-06,2.629287699999997858e+06
1.098499999999999943e-06,2.572803549999998882e+06
1.098999999999999981e-06,2.528456199999999721e+06
1.099500000000000019e-06,2.502588099999999627e+06
1.100000000000000056e-06,2.488140000000000000e+06
1.100500000000000094e-06,2.479948399999999907e+06
1.100999999999999919e-06,2.479736799999999814e+06
1.101499999999999957e-06,2.450529225000001024e+06
1.101999999999999995e-06,2.410010950000001118e+06
1.102500000000000032e-06,2.367102437500001397e+06
1.103000000000000070e-06,2.362033375000000466e+06
1.103499999999999896e-06,2.372681200000000186e+06
1.104000000000000145e-06,2.383472800000000279e+06
1.104499999999999971e-06,2.367807612499999348e+06
1.105000000000000008e-06,2.331145124999998603e+06
1.105499999999999834e-06,2.252119137499999255e+06
1.106000000000000083e-06,2.205257049999999814e+06
1.106500000000000121e-06,2.189302474999999627e+06
1.106999999999999947e-06,2.256578049999999348e+06
1.107499999999999984e-06,2.253679500000000931e+06
1.108000000000000022e-06,2.205719600000001956e+06
1.108500000000000059e-06,2.125622387500002515e+06
1.108999999999999885e-06,2.125727324999997858e+06
1.109499999999999923e-06,2.172172850000000093e+06
1.110000000000000172e-06,2.169713000000000000e+06
1.110499999999999998e-06,2.106310624999997206e+06
1.111000000000000035e-06,2.006174449999999721e+06
1.111499999999999861e-06,1.992036924999999814e+06
1.112000000000000111e-06,1.963968899999999674e+06
1.112500000000000148e-06,1.917970000000000000e+06
